Parent_ID,order_id,date,text,date_new
1091.0,1,1835-07-26,"<p><p>Appointments for <br/>
Preaching<br/>
by W Woodruff</p>

<br/>
<p><strong><date when='1835-07-26'>July 26, 1835",07/26/1835
1091.0,1,1835-07-28,</date>,07/28/1835
1091.0,1,1835-07-30," ~ Sunday</strong></p>

<br/>
<p>x Sunday July 26th 1835 At [[Johnathan Lowery|Johnathan<br/>
Lowery's]] On [[Big Sandy River, Henry County, Tennessee|Sandy]] [[Humphreys County, Tennessee|Humphreys County]]<br/>
x Tenn at 12-oclock / Isah 8:20</p>

<br/>
<p><strong><date when='1835-07-28'>July 28, 1835",07/30/1835
1091.0,1,1835-08-02,</date>,08/02/1835
1091.0,1,1835-08-04," ~ Tuesday</strong></p>

<br/>
<p>Tuesday 28<sup>th</sup> at Brother's [[John Jackson|Jacksons]] on<br/>
x [[Cypress Creek, Humphreys County, Tennessee|Cyprus]] Creek / Zenos parable of Vineyard</p>

<br/>
<p><strong><date when='1835-07-30'>July 30, 1835",08/04/1835
1091.0,1,1835-08-06,</date>,08/06/1835
1091.0,1,1835-08-07," ~ Thursday</strong></p>

<br/>
<p>x Thursday 30 at [[Lewis Barker|L Barkers]] / 2 Timothy 2:15</p>

<br/>
<p><strong><date when='1835-08-02'>August 2, 1835",08/07/1835
1091.0,1,1835-08-09,</date>,08/09/1835
1091.0,1,1835-08-11," ~ Sunday</strong></p>

<br/>
<p>x Sunday 2<sup rend='sup'>nd</sup> August at [[Eagle Creek, Humphreys County, Tennessee|Egle Creek]] Meeting house<br/>
At mister [[Polly Barnett Jennings|Barnes]] at 4 <sup rend='sup'>o</sup> clock / {<span class='unclear'>[shorthand?]</span>}</p>

<br/>
<p><strong><date when='1835-08-04'>August 4, 1835",08/11/1835
1091.0,1,1835-08-13,</date>,08/13/1835
1091.0,1,1835-08-14," ~ Tuesday</strong></p>

<br/>
<p>x Tuesday 4<sup rend='sup'>th</sup> at Bros [[Seth Utley|Utley's]] / {<span class='unclear'>[shorthand?]</span>}</p>

<br/>
<p><strong><date when='1835-08-06'>August 6, 1835",08/14/1835
1091.0,1,1835-08-16,</date>,08/16/1835
1091.0,1,1835-08-23," ~ Thursday</strong></p>

<br/>
<p>x Thursday 6<sup rend='sup'>th</sup> at Col [[Colonel Rutherford|Rutherfords]] at [[Reynoldsburg, Humphreys County, Tennessee|Reynoldsburgh]]<br/>
east of [[Tennessee River, United States|Tennessee River]] / II Cor 4<sup rend='sup'><u rend='underline'>th</u></sup> 3; 4<sup rend='sup'>th</sup></p>

<br/>
<p><strong><date when='1835-08-07'>August 7, 1835",08/23/1835
1091.0,1,1835-08-26,</date>,08/26/1835
